Sun Nov 27 18:49:48 2022    profiler_result

         274689913 function calls (269353762 primitive calls) in 145.197 seconds

   Ordered by: internal time
   List reduced from 15008 to 1588 due to restriction <'wger/wger((?!tests).)*$'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      864    0.028    0.000    2.547    0.003 /Users/adampetik/School/wger/wger/config/signals.py:26(init_language_config)
    10871    0.018    0.000    4.392    0.000 /Users/adampetik/School/wger/wger/nutrition/signals.py:33(reset_nutritional_values_canonical_form)
     2627    0.017    0.000    2.295    0.001 /Users/adampetik/School/wger/wger/gym/helpers.py:18(get_user_last_activity)
     5195    0.012    0.000    0.652    0.000 /Users/adampetik/School/wger/wger/config/models/language_config.py:75(save)
      749    0.010    0.000    0.960    0.001 /Users/adampetik/School/wger/wger/utils/context_processor.py:26(processor)
     2623    0.007    0.000    4.446    0.002 /Users/adampetik/School/wger/wger/manager/signals.py:38(update_activity_cache)
    11013    0.006    0.000    0.012    0.000 /Users/adampetik/School/wger/wger/utils/cache.py:99(get_nutrition_cache_by_key)
      858    0.006    0.000    0.018    0.000 /Users/adampetik/School/wger/wger/nutrition/helpers.py:48(get_nutritional_values)
     2100    0.005    0.000    1.640    0.001 /Users/adampetik/School/wger/wger/utils/middleware.py:56(get_user)
     6180    0.005    0.000    3.299    0.001 /Users/adampetik/School/wger/wger/nutrition/models/meal_item.py:82(get_owner_object)
    17150    0.005    0.000    0.024    0.000 /Users/adampetik/School/wger/wger/utils/helpers.py:84(wrapper)
      923    0.004    0.000    0.147    0.000 /Users/adampetik/School/wger/wger/utils/language.py:36(load_language)
    17915    0.004    0.000    0.009    0.000 /Users/adampetik/School/wger/wger/utils/cache.py:63(get_pk)
     6816    0.004    0.000    0.007    0.000 /Users/adampetik/School/wger/wger/core/templatetags/wger_extras.py:160(language_select)
      878    0.003    0.000    0.243    0.000 /Users/adampetik/School/wger/wger/exercises/signals.py:50(delete_exercise_image_on_update)
     3675    0.003    0.000    0.004    0.000 /Users/adampetik/School/wger/wger/core/templatetags/wger_extras.py:197(fa_class)
      234    0.003    0.000    0.719    0.003 /Users/adampetik/School/wger/wger/manager/models/set.py:96(exercise_bases)
     5229    0.003    0.000    0.010    0.000 /Users/adampetik/School/wger/wger/utils/cache.py:75(get_language_config_key)
      749    0.003    0.000    0.729    0.001 /Users/adampetik/School/wger/wger/utils/context_processor.py:98(get_custom_header)
      862    0.003    0.000    0.227    0.000 /Users/adampetik/School/wger/wger/gallery/models/image.py:99(auto_delete_file_on_change)
      664    0.002    0.000    1.319    0.002 /Users/adampetik/School/wger/wger/utils/generic_views.py:172(dispatch)
      193    0.002    0.000    0.267    0.001 /Users/adampetik/School/wger/wger/nutrition/models/meal.py:84(get_nutritional_values)
     4812    0.002    0.000    0.002    0.000 /Users/adampetik/School/wger/wger/utils/middleware.py:37(check_current_request)
       86    0.002    0.000    0.719    0.008 /Users/adampetik/School/wger/wger/manager/models/day.py:98(get_canonical_representation)
     2712    0.002    0.000    0.005    0.000 /Users/adampetik/School/wger/wger/utils/middleware.py:86(process_request)
     3247    0.002    0.000    0.919    0.000 /Users/adampetik/School/wger/wger/nutrition/models/meal.py:78(get_owner_object)
      338    0.002    0.000    0.170    0.001 /Users/adampetik/School/wger/wger/utils/generic_views.py:211(get_form)
      177    0.002    0.000    0.170    0.001 /Users/adampetik/School/wger/wger/manager/managers.py:27(get_current_workout)
     7003    0.001    0.000    0.001    0.000 /Users/adampetik/School/wger/wger/core/signals.py:54(set_user_age)
       90    0.001    0.000    0.204    0.002 /Users/adampetik/School/wger/wger/nutrition/models/plan.py:102(get_nutritional_values)
      317    0.001    0.000    0.500    0.002 /Users/adampetik/School/wger/wger/manager/models/set.py:144(reps_smart_text)
      233    0.001    0.000    0.540    0.002 /Users/adampetik/School/wger/wger/utils/generic_views.py:295(dispatch)
     2712    0.001    0.000    0.002    0.000 /Users/adampetik/School/wger/wger/utils/middleware.py:100(process_response)
     2712    0.001    0.000    0.001    0.000 /Users/adampetik/School/wger/wger/utils/middleware.py:118(process_response)
     2100    0.001    0.000    1.641    0.001 /Users/adampetik/School/wger/wger/utils/middleware.py:91(<lambda>)
      320    0.001    0.000    0.003    0.000 /Users/adampetik/School/wger/wger/manager/models/set.py:206(get_setting_text)
     1271    0.001    0.000    0.002    0.000 /Users/adampetik/School/wger/wger/utils/cache.py:69(get_language_key)
      131    0.001    0.000    0.127    0.001 /Users/adampetik/School/wger/wger/exercises/models/base.py:161(get_exercise)
      483    0.001    0.000    0.002    0.000 /Users/adampetik/School/wger/wger/core/templatetags/wger_extras.py:239(format_username)
      719    0.001    0.000    0.001    0.000 /Users/adampetik/School/wger/wger/utils/permissions.py:31(has_permission)
      122    0.001    0.000    0.800    0.007 /Users/adampetik/School/wger/wger/manager/models/workout.py:137(canonical_representation)
      489    0.001    0.000    0.035    0.000 /Users/adampetik/School/wger/wger/manager/managers.py:70(get_queryset)
       22    0.001    0.000    0.141    0.006 /Users/adampetik/School/wger/wger/manager/helpers.py:48(render_workout_day)
        9    0.001    0.000    0.162    0.018 /Users/adampetik/School/wger/wger/nutrition/views/plan.py:236(export_pdf)
       70    0.001    0.000    0.021    0.000 /Users/adampetik/School/wger/wger/utils/generic_views.py:282(get_form)
       27    0.001    0.000    0.011    0.000 /Users/adampetik/School/wger/wger/manager/models/schedule.py:112(get_current_scheduled_workout)
       23    0.001    0.000    0.585    0.025 /Users/adampetik/School/wger/wger/core/views/misc.py:109(dashboard)
       16    0.000    0.000    0.109    0.007 /Users/adampetik/School/wger/wger/manager/views/ical.py:75(get_events_workout)
       50    0.000    0.000    0.045    0.001 /Users/adampetik/School/wger/wger/nutrition/models/plan.py:162(get_closest_weight_entry)
      121    0.000    0.000    0.050    0.000 /Users/adampetik/School/wger/wger/exercises/api/permissions.py:37(has_permission)
       29    0.000    0.000    0.842    0.029 /Users/adampetik/School/wger/wger/core/views/user.py:124(delete)
      169    0.000    0.000    0.098    0.001 /Users/adampetik/School/wger/wger/utils/models.py:105(collect_model_author_history)
        2    0.000    0.000    0.036    0.018 /Users/adampetik/School/wger/wger/core/demo.py:82(create_demo_entries)
        1    0.000    0.000    0.049    0.049 /Users/adampetik/School/wger/wger/exercises/migrations/0011_auto_20201214_0033.py:642(create_exercise_mapping)
       56    0.000    0.000    0.024    0.000 /Users/adampetik/School/wger/wger/nutrition/forms.py:324(__init__)
        1    0.000    0.000    0.057    0.057 /Users/adampetik/School/wger/wger/exercises/migrations/0007_auto_20201203_1042.py:142(insert_variations)
      416    0.000    0.000    0.004    0.000 /Users/adampetik/School/wger/wger/core/templatetags/wger_extras.py:217(trans_weight_unit)
       23    0.000    0.000    0.067    0.003 /Users/adampetik/School/wger/wger/weight/helpers.py:90(group_log_entries)
      595    0.000    0.000    0.002    0.000 /Users/adampetik/School/wger/wger/manager/helpers.py:208(formatday)
      245    0.000    0.000    0.115    0.000 /Users/adampetik/School/wger/wger/utils/generic_views.py:230(form_valid)
       48    0.000    0.000    0.190    0.004 /Users/adampetik/School/wger/wger/utils/viewsets.py:43(update)
       12    0.000    0.000    0.217    0.018 /Users/adampetik/School/wger/wger/manager/management/commands/email-reminders.py:41(handle)
       89    0.000    0.000    0.035    0.000 /Users/adampetik/School/wger/wger/manager/models/day.py:58(days_txt)
       18    0.000    0.000    0.126    0.007 /Users/adampetik/School/wger/wger/manager/views/schedule.py:122(export_pdf_log)
      320    0.000    0.000    0.001    0.000 /Users/adampetik/School/wger/wger/manager/models/set.py:168(get_reps_reprentation)
       18    0.000    0.000    0.123    0.007 /Users/adampetik/School/wger/wger/manager/views/schedule.py:192(export_pdf_table)
       46    0.000    0.000    0.056    0.001 /Users/adampetik/School/wger/wger/exercises/models/exercise.py:179(variations)
       88    0.000    0.000    0.031    0.000 /Users/adampetik/School/wger/wger/manager/models/day.py:62(get_first_day_id)
      137    0.000    0.000    0.003    0.000 /Users/adampetik/School/wger/wger/utils/cache.py:34(reset_workout_canonical_form)
       91    0.000    0.000    0.042    0.000 /Users/adampetik/School/wger/wger/utils/permissions.py:43(has_object_permission)
       19    0.000    0.000    0.562    0.030 /Users/adampetik/School/wger/wger/manager/views/log.py:329(calendar)
      960    0.000    0.000    0.008    0.000 /Users/adampetik/School/wger/wger/nutrition/helpers.py:36(get_unit_type)
       17    0.000    0.000    0.639    0.038 /Users/adampetik/School/wger/wger/nutrition/views/plan.py:148(view)
